user_id,title
1,hello
2,yes
3,no
4,the wake
5,happen
1,no
5,the stairs
4,hello
3,the man
1,no
4,happen
4,the cow
5,the wake
2,the stairs
2,happen
3,the wake
1,happen
4,yes
3,hello
4,happen
2,happen
5,happen
4,the cow
3,the box
5,bye
3,the stairs
3,the wake
4,the man
3,yes
3,bye
3,the stairs
3,yes
5,happen
4,the wake
4,the box
2,happen
3,the wake
3,no
5,the cow
5,the wake
4,the wake
4,the wake
4,the wake
4,bye
5,no
5,hello
5,the box
4,happen
2,bye
2,no
5,happen
1,the stairs
2,happen
1,happen
1,yes
4,the stairs
4,yes
2,the wake
1,the wake
4,happen
1,the box
4,the stairs
3,the man
2,the box
4,the man
5,the box
1,no
2,the box
1,the box
3,yes
1,the stairs
4,the cow
4,yes
1,hello
4,bye
1,hello
5,happen
2,happen
1,happen
4,the stairs
5,the stairs
2,happen
2,the wake
3,bye
2,the man
3,the wake
4,hello
3,the wake
3,the box
5,yes
4,the cow
4,happen
3,the cow
3,the stairs
5,the stairs
4,the stairs
2,bye
5,the box
5,yes
3,happen
3,no
4,happen
1,the wake
5,happen
5,bye
2,no
1,the man
5,the cow
5,the stairs
1,the box
2,bye
4,the man
4,bye
4,the wake
1,the wake
4,the wake
3,the man
5,the box
1,yes
4,yes
2,the box
1,the man
1,no
4,happen
5,hello
3,the wake
4,the wake
3,bye
3,yes
3,the stairs
3,no
1,bye
5,the cow
5,yes
5,the box
1,happen
2,the man
2,the box
1,the cow
2,the wake
3,bye
1,hello
3,the cow
2,no
3,the box
4,yes
4,happen
2,the wake
3,yes
5,happen
3,the box
2,hello
2,no
2,happen
4,happen
5,no
4,the wake
3,the cow
1,the stairs
4,happen
5,no
5,the stairs
1,the man
3,bye
2,the stairs
2,the man
5,yes
2,the wake
1,the cow
5,hello
1,happen
3,the man
1,bye
5,happen
4,no
3,the box
2,no
5,the stairs
2,yes
3,hello
2,the wake
1,the box
5,the box
3,the wake
3,no
5,bye
2,the man
2,bye
3,the cow
1,the stairs
4,hello
5,yes
4,hello
5,happen
1,yes
3,bye
5,the box
1,the wake
5,the stairs
1,the man
4,hello
1,hello
2,yes
3,bye
2,the stairs
3,bye
4,the cow
1,the stairs
2,yes
1,the box
5,no
5,the stairs
5,the box
5,bye
4,the man
4,the cow
2,the box
4,yes
3,no
1,the wake
1,the box
5,happen
3,the wake
3,bye
1,the man
4,the man
2,hello
4,bye
5,yes
4,hello
1,hello
5,the man
1,yes
5,hello
5,yes
1,no
5,hello
2,the stairs
1,no
5,bye
3,happen
3,the man
1,no
1,the box
1,the box
5,the cow
2,bye
5,the stairs
4,the wake
2,the cow
1,the stairs
5,the stairs
5,bye
1,no
1,bye
4,happen
1,the man
3,the wake
1,the stairs
5,bye
1,the wake
1,yes
4,no
2,bye
5,the wake
2,the man
3,bye
3,happen
3,happen
1,bye
1,the box
1,the cow
5,the cow
4,yes
1,happen
4,the man
3,hello
5,no
2,the box
3,hello
3,the box
1,bye
2,yes
5,the cow
2,the man
2,bye
4,the box
2,bye
4,no
2,hello
1,the cow
1,the box
2,the wake
5,hello
3,the wake
5,the wake
4,the cow
3,yes
5,yes
2,bye
2,no
3,bye
1,the cow
3,hello
3,happen
3,no
4,happen
1,the box
2,yes
4,the box
5,the box
1,yes
3,happen
1,the box
5,the man
1,the cow
2,bye
1,hello
2,the wake
2,the man
3,yes
4,happen
5,the box
3,the box
2,the man
5,the stairs
1,hello
5,the wake
3,the man
5,the stairs
5,the man
4,the stairs
1,happen
2,the cow
1,the wake
1,bye
1,the box
4,the stairs
5,the wake
3,the cow
1,no
4,the man
4,the cow
3,the man
3,the box
2,hello
1,no
4,bye
3,happen
2,the man
1,happen
4,bye
1,happen
1,yes
3,the box
2,no
3,the man
2,the wake
4,yes
5,hello
2,the man
2,the man
1,bye
3,no
1,the man
4,no
3,the box
5,hello
5,the cow
3,the stairs
1,happen
5,hello
2,hello
3,happen
4,the box
3,the man
3,bye
5,the stairs
2,the man
5,happen
3,the box
4,yes
4,bye
3,happen
5,hello
4,the box
5,the wake
5,the cow
4,hello
4,the wake
5,the man
4,the man
3,the box
5,the man
1,bye
1,yes
1,hello
1,the wake
3,the wake
3,no
5,bye
3,no
3,the man
5,yes
5,the stairs
4,yes
3,yes
2,the wake
4,the box
3,bye
4,hello
